Team,Games Played,Goals Scored,GSPG,Goals Allowed,GAPG,Year,Conference
Chicago Blackhawks*,82,235,2.9,209,2.5,2016,West
Nashville Predators*,82,228,2.8,215,2.6,2016,West
Minnesota Wild*,82,216,2.6,206,2.5,2016,West
Colorado Avalanche,82,216,2.6,240,2.9,2016,West
Winnipeg Jets,82,215,2.6,239,2.9,2016,West
Anaheim Ducks*,82,218,2.7,192,2.3,2016,West
Los Angeles Kings*,82,225,2.7,195,2.4,2016,West
San Jose Sharks*,82,241,2.9,210,2.6,2016,West
Arizona Coyotes,82,209,2.5,245,3.0,2016,West
Calgary Flames,82,231,2.8,260,3.2,2016,West
Vancouver Canucks,82,191,2.3,243,3.0,2016,West
Edmonton Oilers,82,203,2.5,245,3.0,2016,West
Montreal Canadiens*,82,226,2.8,200,2.4,2017,East
Ottawa Senators*,82,212,2.6,214,2.6,2017,East
Boston Bruins*,82,234,2.9,212,2.6,2017,East
Toronto Maple Leafs*,82,251,3.1,242,3.0,2017,East
Tampa Bay Lightning,82,234,2.9,227,2.8,2017,East
Florida Panthers,82,210,2.6,237,2.9,2017,East
Detroit Red Wings,82,207,2.5,244,3.0,2017,East
Buffalo Sabres,82,201,2.5,237,2.9,2017,East
Washington Capitals*,82,263,3.2,182,2.2,2017,East
Pittsburgh Penguins*,82,282,3.4,234,2.9,2017,East
Columbus Blue Jackets*,82,249,3.0,195,2.4,2017,East
New York Rangers*,82,256,3.1,220,2.7,2017,East
New York Islanders,82,241,2.9,242,3.0,2017,East
Philadelphia Flyers,82,219,2.7,236,2.9,2017,East
Carolina Hurricanes,82,215,2.6,236,2.9,2017,East
New Jersey Devils,82,183,2.2,244,3.0,2017,East
Chicago Blackhawks*,82,244,3.0,213,2.6,2017,West
Minnesota Wild*,82,266,3.2,208,2.5,2017,West
St. Louis Blues*,82,235,2.9,218,2.7,2017,West
Nashville Predators*,82,240,2.9,224,2.7,2017,West
Winnipeg Jets,82,249,3.0,256,3.1,2017,West
Dallas Stars,82,223,2.7,262,3.2,2017,West
Colorado Avalanche,82,166,2.0,278,3.4,2017,West
Anaheim Ducks*,82,223,2.7,200,2.4,2017,West
Edmonton Oilers*,82,247,3.0,212,2.6,2017,West
San Jose Sharks*,82,221,2.7,201,2.5,2017,West
Calgary Flames*,82,226,2.8,221,2.7,2017,West
Los Angeles Kings,82,201,2.5,205,2.5,2017,West
Arizona Coyotes,82,197,2.4,260,3.2,2017,West
