,Home Team,Away Team,Home Moneyline,Away Moneyline,Home Spread,Home Spread Odds,Away Spread,Away Spread Odds,Over/Under,Over Odds,Under Odds
201,Buccaneers,Raiders,-148.0,124.0,-2.5,120.0,2.5,100.0,44.0,110.0,110.0
202,Cardinals,Seahawks,-115.0,-105.0,-1.0,108.0,1.0,112.0,46.0,110.0,110.0
203,Rams,Bills,-105.0,-115.0,1.0,110.0,-1.0,110.0,48.0,110.0,110.0
204,49ers,Bears,-230.0,190.0,-5.5,110.0,5.5,110.0,47.5,110.0,110.0
205,Chiefs,Chargers,-265.0,215.0,-6.5,110.0,6.5,110.0,44.5,110.0,110.0
206,Cowboys,Bengals,-118.0,-102.0,-1.0,110.0,1.0,110.0,48.5,110.0,110.0
207,49ers,Rams,-270.0,220.0,-6.5,108.0,6.5,112.0,47.0,108.0,112.0
208,Texans,Dolphins,-142.0,120.0,-2.5,110.0,2.5,110.0,49.5,110.0,110.0
209,Panthers,Cowboys,225.0,-278.0,6.5,110.0,-6.5,110.0,44.0,110.0,110.0
210,Giants,Ravens,225.0,-278.0,6.5,108.0,-6.5,112.0,44.0,110.0,110.0
211,Titans,Bengals,170.0,-205.0,4.5,110.0,-4.5,110.0,46.0,110.0,110.0
212,Browns,Chiefs,120.0,-142.0,3.0,120.0,-3.0,100.0,46.5,108.0,112.0
213,Jaguars,Jets,-105.0,-115.0,1.0,110.0,-1.0,110.0,46.0,110.0,110.0
214,Saints,Commanders,-148.0,124.0,-3.0,110.0,3.0,110.0,42.0,108.0,112.0
215,Chargers,Buccaneers,-148.0,124.0,-3.0,105.0,3.0,115.0,42.5,110.0,110.0
216,Cardinals,Patriots,-180.0,150.0,-3.5,110.0,3.5,110.0,44.0,110.0,110.0
217,Eagles,Steelers,-205.0,170.0,-4.5,110.0,4.5,110.0,45.0,110.0,110.0
218,Broncos,Colts,120.0,-142.0,2.5,110.0,-2.5,110.0,44.5,108.0,112.0
219,Lions,Bills,-135.0,114.0,-2.0,110.0,2.0,110.0,50.5,110.0,110.0
220,Seahawks,Packers,-102.0,-118.0,1.0,110.0,-1.0,110.0,47.0,108.0,112.0
221,Vikings,Bears,-110.0,-110.0,1.0,115.0,-1.0,105.0,46.0,110.0,110.0
222,Raiders,Falcons,-102.0,-118.0,1.0,110.0,-1.0,110.0,45.5,108.0,112.0
223,Bengals,Browns,-180.0,150.0,-3.5,108.0,3.5,112.0,45.5,110.0,110.0
224,Chiefs,Texans,-205.0,170.0,-4.5,108.0,4.5,112.0,47.0,110.0,110.0
225,Ravens,Steelers,-238.0,195.0,-6.0,105.0,6.0,115.0,42.5,110.0,110.0
226,Falcons,Giants,-198.0,164.0,-4.5,110.0,4.5,110.0,44.5,108.0,112.0
227,Commanders,Eagles,145.0,-175.0,3.0,100.0,-3.0,120.0,45.0,110.0,110.0
228,Panthers,Cardinals,-102.0,-118.0,1.0,110.0,-1.0,110.0,45.5,110.0,110.0
229,Bears,Lions,-108.0,-112.0,1.0,115.0,-1.0,105.0,47.0,108.0,112.0
230,Colts,Titans,-192.0,160.0,-4.0,110.0,4.0,110.0,45.5,110.0,110.0
231,Jets,Rams,-155.0,130.0,-3.0,110.0,3.0,110.0,47.5,110.0,110.0
232,Bills,Patriots,-395.0,310.0,-8.5,110.0,8.5,110.0,44.5,110.0,110.0
233,Chargers,Broncos,-185.0,154.0,-4.0,110.0,4.0,110.0,43.0,110.0,110.0
234,Seahawks,Vikings,-125.0,105.0,-2.0,110.0,2.0,110.0,45.5,108.0,112.0
235,Dolphins,49ers,-105.0,-115.0,1.0,110.0,-1.0,110.0,49.0,110.0,110.0
236,Raiders,Jaguars,-105.0,-115.0,1.0,115.0,-1.0,105.0,45.5,108.0,112.0
237,Cowboys,Buccaneers,-205.0,170.0,-4.5,110.0,4.5,110.0,46.5,110.0,110.0
238,Packers,Saints,-218.0,180.0,-5.0,110.0,5.0,110.0,45.0,110.0,110.0
239,Steelers,Chiefs,185.0,-225.0,4.0,105.0,-4.0,115.0,42.5,110.0,110.0
240,Texans,Ravens,105.0,-125.0,1.5,110.0,-1.5,110.0,46.5,108.0,112.0
241,Bears,Seahawks,-175.0,145.0,-3.5,108.0,3.5,112.0,45.5,108.0,112.0
242,Saints,Raiders,-155.0,130.0,-2.5,120.0,2.5,100.0,43.0,110.0,110.0
243,Patriots,Chargers,120.0,-142.0,2.5,100.0,-2.5,120.0,41.0,110.0,110.0
244,Vikings,Packers,110.0,-130.0,2.0,108.0,-2.0,112.0,45.5,108.0,112.0
245,Commanders,Falcons,114.0,-135.0,2.5,105.0,-2.5,115.0,46.0,110.0,110.0
246,Bengals,Broncos,-375.0,295.0,-8.0,110.0,8.0,110.0,45.5,110.0,110.0
247,Jaguars,Titans,-192.0,160.0,-4.0,108.0,4.0,112.0,46.0,110.0,110.0
248,Buccaneers,Panthers,-205.0,170.0,-5.0,108.0,5.0,112.0,43.0,108.0,112.0
249,Bills,Jets,-142.0,120.0,-2.5,115.0,2.5,105.0,45.5,110.0,110.0
250,Giants,Colts,110.0,-130.0,2.0,108.0,-2.0,112.0,43.5,110.0,110.0
251,Rams,Cardinals,-258.0,210.0,-6.0,108.0,6.0,112.0,48.0,110.0,110.0
252,Eagles,Cowboys,-135.0,114.0,-2.0,110.0,2.0,110.0,47.0,110.0,110.0
253,Browns,Dolphins,-130.0,110.0,-2.0,110.0,2.0,110.0,44.5,110.0,110.0
254,49ers,Lions,-205.0,170.0,-4.5,110.0,4.5,110.0,49.5,108.0,112.0
255,Lions,Vikings,-245.0,200.0,-5.5,115.0,5.5,105.0,47.0,110.0,110.0
256,Packers,Bears,-170.0,142.0,-3.0,120.0,3.0,100.0,46.0,110.0,110.0
257,Titans,Texans,130.0,-155.0,3.0,110.0,-3.0,110.0,45.0,110.0,110.0
258,Falcons,Panthers,-278.0,225.0,-6.5,110.0,6.5,110.0,45.5,110.0,110.0
259,Eagles,Giants,-205.0,170.0,-5.0,110.0,5.0,110.0,43.0,110.0,110.0
260,Patriots,Bills,150.0,-180.0,3.5,110.0,-3.5,110.0,44.5,110.0,110.0
261,Cowboys,Commanders,-230.0,190.0,-5.5,110.0,5.5,110.0,46.5,110.0,110.0
262,Ravens,Browns,-205.0,170.0,-4.5,110.0,4.5,110.0,44.5,110.0,110.0
263,Colts,Jaguars,-130.0,110.0,-2.0,110.0,2.0,110.0,46.5,108.0,112.0
264,Jets,Dolphins,-155.0,130.0,-3.0,110.0,3.0,110.0,45.0,110.0,110.0
265,Steelers,Bengals,-102.0,-118.0,1.0,110.0,-1.0,110.0,43.5,108.0,112.0
266,Buccaneers,Saints,-135.0,114.0,-2.5,110.0,2.5,110.0,43.0,108.0,112.0
267,Cardinals,49ers,164.0,-198.0,4.0,108.0,-4.0,112.0,43.0,110.0,110.0
268,Raiders,Chargers,-105.0,-115.0,1.0,112.0,-1.0,108.0,43.5,110.0,110.0
269,Broncos,Chiefs,160.0,-192.0,4.0,110.0,-4.0,110.0,42.5,110.0,110.0
270,Rams,Seahawks,-225.0,185.0,-5.5,108.0,5.5,112.0,47.0,110.0,110.0
